C,Si,Mn,S,P,Ni,Cr,Mo,V,Cu,Co,W,O,Ti,N,Al,B,Nb,Sn,As,Sb,Current,Voltage,AC_DC,ElectrodePolarity,HeatInput,InterpassTemp,WeldType,YieldStrength,UTS,Elongation,ReductionArea,CharpyTemp,CharpyImpact,Hardness,FATT50,PrimaryFerrite,Ferrite2ndPhase,AcicularFerrite,Martensite,FerriteCarbide,WeldID
0.037,0.3,0.65,0.008,0.012,0.0,2.160910534142957,0.6110917574161832,0.08708536209447715,0.19118263173999495,0.28104876832502157,0.9129305884441266,443.4955552449932,76.74102992699011,113.94942316890979,62.89812543441076,10.236197097614365,144.79001410390606,53.0299585529832,33.91844706289976,28.24078944235407,170.0,21.0,DC,+,1.0,200.0,MMA,392.0,466.0,31.9,80.6,,,,,,,,,,Evans-Ni/CMn-1990/1991-0Aaw
0.037,0.3,0.65,0.008,0.012,0.0,2.160910534142957,0.6110917574161832,0.08708536209447715,0.19118263173999495,0.28104876832502157,0.9129305884441266,443.4955552449932,76.74102992699011,113.94942316890979,62.89812543441076,10.236197097614365,144.79001410390606,53.0299585529832,33.91844706289976,28.24078944235407,170.0,21.0,DC,+,1.0,200.0,MMA,,,,,-28.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-0Aawch
0.037,0.3,0.65,0.008,0.012,0.0,2.160910534142957,0.6110917574161832,0.08708536209447715,0.19118263173999495,0.28104876832502157,0.9129305884441266,443.4955552449932,76.74102992699011,113.94942316890979,62.89812543441076,10.236197097614365,144.79001410390606,53.0299585529832,33.91844706289976,28.24078944235407,170.0,21.0,DC,+,1.0,200.0,MMA,370.0,456.0,35.2,80.6,-38.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-0Aht
0.037,0.31,1.03,0.007,0.014,0.0,1.733539820564463,0.4971537058241893,0.08663511829369241,0.18001929659477334,0.27266530865021466,0.8420386035303551,443.162244771078,79.46281454217967,112.595564020354,77.87173371773679,9.833086019818666,129.68427609744072,51.53476677653509,35.62630629409546,28.16112723795277,170.0,21.0,DC,+,1.0,200.0,MMA,413.0,498.0,31.2,80.6,,,,,,,,,,Evans-Ni/CMn-1990/1991-0Baw
0.037,0.31,1.03,0.007,0.014,0.0,1.733539820564463,0.4971537058241893,0.08663511829369241,0.18001929659477334,0.27266530865021466,0.8420386035303551,443.162244771078,79.46281454217967,112.595564020354,77.87173371773679,9.833086019818666,129.68427609744072,51.53476677653509,35.62630629409546,28.16112723795277,170.0,21.0,DC,+,1.0,200.0,MMA,,,,,-48.0,100.0,,,32.0,28.0,40.0,0.0,0.0,Evans-Ni/CMn-1990/1991-0Bawch
0.037,0.31,1.03,0.007,0.014,0.0,1.733539820564463,0.4971537058241893,0.08663511829369241,0.18001929659477334,0.27266530865021466,0.8420386035303551,443.162244771078,79.46281454217967,112.595564020354,77.87173371773679,9.833086019818666,129.68427609744072,51.53476677653509,35.62630629409546,28.16112723795277,170.0,21.0,DC,+,1.0,200.0,MMA,402.0,490.0,31.0,80.6,-44.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-0Bht
0.044,0.35,1.43,0.007,0.014,0.0,1.2887808881817104,0.37009363637595527,0.08558942815118797,0.15531780336274714,0.2446491465352345,0.7439107459277565,442.8134916046422,84.74134408489095,109.46415137014037,110.04214632639196,8.980250573861909,113.491302901692,47.36898470148583,35.676256427848216,28.016928082427057,170.0,21.0,DC,+,1.0,200.0,MMA,468.0,551.0,29.4,78.7,,,,,,,,,,Evans-Ni/CMn-1990/1991-0Caw
0.044,0.35,1.43,0.007,0.014,0.0,1.2887808881817104,0.37009363637595527,0.08558942815118797,0.15531780336274714,0.2446491465352345,0.7439107459277565,442.8134916046422,84.74134408489095,109.46415137014037,110.04214632639196,8.980250573861909,113.491302901692,47.36898470148583,35.676256427848216,28.016928082427057,170.0,21.0,DC,+,1.0,200.0,MMA,,,,,-53.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-0Cawch
0.044,0.35,1.43,0.007,0.014,0.0,1.2887808881817104,0.37009363637595527,0.08558942815118797,0.15531780336274714,0.2446491465352345,0.7439107459277565,442.8134916046422,84.74134408489095,109.46415137014037,110.04214632639196,8.980250573861909,113.491302901692,47.36898470148583,35.676256427848216,28.016928082427057,170.0,21.0,DC,+,1.0,200.0,MMA,436.0,529.0,31.6,78.8,-58.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-0Cht
0.045,0.33,1.85,0.007,0.016,0.0,0.8087415542250227,0.2514688777226084,0.08548894410787256,0.155199506325161,0.2483160024307196,0.7004200329725876,442.44379412441435,85.55950205732995,109.0828836650553,111.49067499535158,8.999983033336399,96.77382213329633,48.088284972904376,39.47778144264964,27.746759401401505,170.0,21.0,DC,+,1.0,200.0,MMA,514.0,588.0,28.0,76.8,,,,,,,,,,Evans-Ni/CMn-1990/1991-0Daw
